size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
2,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1799.355492155415,2086.0
0,1,7,0,6,0,0,0.3333333333333333,0,1,0,1,1,1242.740386989103,135.0
3,3,3,0,3,1,1,0.3333333333333333,0,0,0,0,0,555.4249577178491,23.0
1,2,6,1,0,1,0,0.3333333333333333,0,0,1,1,1,1248.9416118004956,763.0
1,1,1,0,0,0,0,0.3333333333333333,0,1,0,1,1,1976.8939284667235,1334.0
3,0,4,1,0,0,0,0.3333333333333333,0,1,0,0,0,554.5234244598146,477.0
0,1,1,1,0,1,0,0.03333333333333333,1,0,1,1,1,1734.1713044770545,1341.0
0,1,7,0,6,0,0,0.3333333333333333,0,1,0,1,1,1070.0659535373115,70.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2189.4948554831376,791.0
3,3,3,0,3,1,1,0.3333333333333333,0,0,0,0,0,555.4249577178491,24.0
3,3,1,0,5,0,1,0.0,0,0,0,0,0,513.7142754644412,42.0
0,0,1,0,0,1,0,0.3333333333333333,0,0,0,0,0,707.19583044003,628.0
2,2,1,1,0,0,0,0.3333333333333333,1,1,0,1,1,2183.8115688471144,2109.0
0,1,3,1,0,1,0,0.3333333333333333,1,0,1,1,1,1295.5660334061192,930.0
1,2,7,1,6,1,0,0.3333333333333333,0,0,0,1,1,1300.134201886086,370.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,636.3286914090804,25.0
3,3,1,0,0,1,1,0.3333333333333333,0,0,0,0,0,1186.6214534008736,1890.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,565.0010033824005,785.0
3,3,4,0,5,1,1,0.0,0,0,0,0,0,520.4938406131448,20.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1694.056999380997,2246.0
3,3,1,0,5,0,1,0.0,0,0,0,0,0,791.4458901093244,52.0
2,2,1,1,0,1,0,0.3,1,0,1,1,1,2033.9909329684633,1856.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,513.2023919742994,88.0
1,1,0,1,0,1,0,0.3333333333333333,1,0,0,1,1,2194.059232483948,1525.0
3,3,1,0,4,0,0,0.3333333333333333,0,1,0,0,0,680.7397060110089,530.0
1,1,3,0,2,1,0,0.3333333333333333,0,0,0,1,1,1783.9720462495718,22.0
3,3,1,0,4,0,0,0.3333333333333333,0,1,0,0,0,761.720517450382,809.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2009.5667486378825,2050.0
1,2,1,0,0,1,1,0.3333333333333333,1,0,0,1,1,2122.5236505646885,321.0
2,1,1,1,0,1,0,0.3333333333333333,1,0,0,1,1,2049.657521000658,1695.0
2,2,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1907.849372314473,2060.0
1,2,3,0,3,1,0,0.3333333333333333,0,0,0,1,1,1609.323441187484,3037.0
0,0,1,0,0,0,0,0.3333333333333333,0,1,0,1,1,2028.8715310376158,842.0
1,1,6,0,0,0,0,0.3333333333333333,1,1,0,1,1,1058.6640382478554,1048.0
3,3,8,1,0,1,0,0.3333333333333333,1,0,0,0,0,-42.914420941756134,550.0
3,3,7,0,6,0,0,0.3333333333333333,0,1,0,0,0,61.752347370989355,57.0
3,3,4,0,0,1,0,0.3333333333333333,0,0,0,0,0,417.2581464810105,505.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,404.7053371452926,465.0
3,3,7,0,6,0,0,0.3333333333333333,0,1,0,0,0,-84.50118349209345,79.0
3,3,4,0,0,0,0,0.3333333333333333,1,1,0,0,0,151.63637676695487,408.0
1,1,3,0,0,0,0,0.3333333333333333,1,1,0,1,1,1419.8400960511858,1086.0
0,1,1,1,0,1,0,0.03333333333333333,1,0,1,1,0,895.192261446108,1126.0
3,3,4,0,0,1,0,0.03333333333333333,1,0,0,0,0,267.5162553885732,780.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,636.3286914090804,33.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2009.5667486378825,2392.0
3,3,1,0,4,0,0,0.3333333333333333,0,1,0,0,0,804.1346169146062,837.0
2,2,1,0,0,1,0,0.0,1,0,0,1,1,1810.3015801709719,3108.0
3,3,4,1,0,1,1,0.3333333333333333,1,0,0,0,0,793.8787131812621,155.0
0,1,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1571.3530866242963,1183.0
1,1,3,0,0,0,0,0.3333333333333333,1,1,0,1,1,1363.7991454487105,857.0
1,1,1,0,0,1,0,0.0,1,0,0,1,1,1576.847295699151,2979.0
2,2,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1899.4469494035275,898.0
0,0,7,1,6,1,0,0.3333333333333333,0,0,0,0,1,874.7195381837689,215.0
